lat,lon,pano_id,color
6.495,3.192,n8xZ848alQw31Ipzp2xdtw,#588CC7
6.494,3.175,NTxRH29DEASVAjgwcvVjKA,#588CC7
6.494,3.157,Bj_6fz8-1HvL-nwq58-vYw,#588CC7
6.497,3.159,-miFkQK_XAFoIRamcgAXTw,#588CC7
6.496,3.176,aOPC5zri-Y9xiFpIiC5TcA,#588CC7
6.496,3.193,CH6D6LH-3M54sivyEhIUJg,#588CC7
6.494,3.192,PMwK7Y6TekkZUfOS69_l3w,#588CC7
6.496,3.158,TJdEwT8u4KPSaLsRTKd4TQ,#588CC7
6.498,3.177,RUFCF5WjDjOc9CftLNme9g,#588CC7
6.497,3.176,0Ol9wksHvKLdtpw85zsNLg,#588CC7
6.497,3.193,wnpVbIMzfD98PRM_l0mJfQ,#588CC7
6.499,3.177,N3fMoPjuG3djoIBlNDQkGg,#588CC7
6.681,3.161,9j1PlbOEn6E2_w9wyK9cXQ,#588CC7
6.682,3.161,mBiWOS-LZK-eXfVBcznYUA,#588CC7
6.682,3.196,HoFCRC7uJitOmcNgNn4Qkg,#588CC7
6.683,3.179,Z9XURdxV399DD2-n-bbNfQ,#588CC7
6.684,3.179,LrUIlT9wk9eUkuMW5cYseQ,#588CC7
6.451,3.225,504CBNnSHtfyJCRfAzNvyQ,#588CC7
6.451,3.242,oVL9fANRHiDyfIUhq42CdQ,#588CC7
6.453,3.213,LuaxFibsBXL85HxjM8JKKQ,#588CC7
6.452,3.21,GX0PaieNr80Q7-HVGpPJwg,#588CC7
6.452,3.227,HsUhtiNgE5VV97CvvMZw_Q,#588CC7
6.453,3.23,Elq4k_aFlmW98j-CjGHBYA,#588CC7
6.453,3.247,DpQ2c1142Ps1OM7S-HW5AQ,#588CC7
6.454,3.232,MD_dgvDdzV7jdL6HLPcPsw,#588CC7
6.454,3.215,KYzQ7Zayg4xTNWCdCEK2KQ,#588CC7
6.455,3.218,nc-Qu3_-M6LNry9Vzq--uw,#588CC7
6.456,3.203,xf0S4CMV7Q03jG9yaZpSaw,#588CC7
6.455,3.235,Jzn8rqY-MiWH420jLk8nFw,#588CC7
6.456,3.22,EE5dABRYoWXgJcOr42k6UQ,#588CC7
6.457,3.24,YpVRhLfX9dZaWL6G8pg9FQ,#588CC7
6.456,3.237,Dt9iX4vDy26Dv45F3IEvgg,#588CC7
6.457,3.206,C3RV1lsQi9u21-f3sEw48A,#588CC7
6.457,3.223,Yag1PAXRL_ask6YD4DDGBA,#588CC7
6.458,3.208,mdBFdBlg9gQm5gUPppHLug,#588CC7
6.458,3.225,35Ais638YvhtL0LBq3jnGQ,#588CC7
6.459,3.211,OpAel79VMx-KgS3MYVhlhA,#588CC7
6.459,3.228,7D_0LS_pHof5KlLIGyJTeA,#588CC7
6.459,3.245,GJ0anf8TFKzqHyqCxMIEpQ,#588CC7
6.46,3.213,9eShY9bZP0PR05hPWoME9g,#588CC7
6.46,3.23,RD8lFwLZw-7msPDYb_9hpA,#588CC7
6.462,3.201,g-077-9K_Mlgyo22yLuWMA,#588CC7
6.463,3.204,Yk-jDbPWfrOBBp5sQLwTnQ,#588CC7
6.464,3.206,2V0b4Bh1FxKoBQJ8Vr4NWA,#588CC7
6.467,3.248,yJzXSVkpSTA79efVvGTu6g,#588CC7
6.469,3.202,FtBRm7oQDdKtTvCT4FQRyA,#588CC7
